subject_ID,subject_index,condition,X,Ntrials,posterior_prob,choice_prob
5d0a8a22c0fd80001626e38d,38.0,run_2,212.0,9.0,0.13680688860321,0.0
5d0a8a22c0fd80001626e38d,38.0,run_2,221.0,17.0,0.24025307335204216,0.11764705882352941
5d0a8a22c0fd80001626e38d,38.0,run_2,230.0,11.0,0.38686317984685703,0.36363636363636365
5d0a8a22c0fd80001626e38d,38.0,run_2,302.0,3.0,0.2847472489508014,0.0
5d0a8a22c0fd80001626e38d,38.0,run_2,311.0,9.0,0.44268836623770724,0.4444444444444444
5d0a8a22c0fd80001626e38d,38.0,run_2,320.0,11.0,0.6131368201531431,0.9090909090909091
5d0a8a22c0fd80001626e38d,38.0,run_2,401.0,3.0,0.666139424583122,0.6666666666666666
5d0a8a22c0fd80001626e38d,38.0,run_2,410.0,6.0,0.7992399910868982,0.8333333333333334
5d0a8a22c0fd80001626e38d,38.0,run_2,500.0,2.0,0.9090909090909091,1.0
5d0a8a22c0fd80001626e38d,38.0,run_2,1013.0,2.0,0.059350943102767575,0.0
5d0a8a22c0fd80001626e38d,38.0,run_2,1022.0,5.0,0.11181576977811694,0.0
5d0a8a22c0fd80001626e38d,38.0,run_2,1031.0,5.0,0.20076000891310175,0.2
5d0a8a22c0fd80001626e38d,38.0,run_2,1040.0,3.0,0.33386057541687797,0.3333333333333333
5d0a8a22c0fd80001626e38d,38.0,run_2,1103.0,1.0,0.13680688860321,0.0
5d0a8a22c0fd80001626e38d,38.0,run_2,1112.0,7.0,0.24025307335204213,0.14285714285714285
5d0a8a22c0fd80001626e38d,38.0,run_2,1121.0,13.0,0.386863179846857,0.3076923076923077
5d0a8a22c0fd80001626e38d,38.0,run_2,1130.0,9.0,0.5573116337622928,0.5555555555555556
5d0a8a22c0fd80001626e38d,38.0,run_2,1202.0,3.0,0.44268836623770724,0.3333333333333333
5d0a8a22c0fd80001626e38d,38.0,run_2,1211.0,13.0,0.6131368201531431,0.15384615384615385
5d0a8a22c0fd80001626e38d,38.0,run_2,1220.0,17.0,0.7597469266479578,0.6470588235294118
5d0a8a22c0fd80001626e38d,38.0,run_2,1301.0,5.0,0.7992399910868981,0.6
5d0a8a22c0fd80001626e38d,38.0,run_2,1310.0,15.0,0.8881842302218831,0.6666666666666666
5d0a8a22c0fd80001626e38d,38.0,run_2,1400.0,5.0,0.9522732789657962,0.8
5d0a8a22c0fd80001626e38d,38.0,run_2,2012.0,1.0,0.386863179846857,0.0
5d0a8a22c0fd80001626e38d,38.0,run_2,2021.0,3.0,0.5573116337622926,1.0
5d0a8a22c0fd80001626e38d,38.0,run_2,2030.0,3.0,0.7152527510491986,0.6666666666666666
5d0a8a22c0fd80001626e38d,38.0,run_2,2102.0,1.0,0.6131368201531431,1.0
5d0a8a22c0fd80001626e38d,38.0,run_2,2111.0,7.0,0.7597469266479578,0.5714285714285714
5d0a8a22c0fd80001626e38d,38.0,run_2,2120.0,9.0,0.86319311139679,0.7777777777777778
5d0a8a22c0fd80001626e38d,38.0,run_2,2201.0,5.0,0.8881842302218831,0.8
5d0a8a22c0fd80001626e38d,38.0,run_2,2210.0,13.0,0.9406490568972323,0.9230769230769231
5d0a8a22c0fd80001626e38d,38.0,run_2,2300.0,7.0,0.975496632449664,1.0
5d0a8a22c0fd80001626e38d,38.0,run_2,3011.0,1.0,0.86319311139679,1.0
5d0a8a22c0fd80001626e38d,38.0,run_2,3020.0,2.0,0.9264124438824265,1.0
5d0a8a22c0fd80001626e38d,38.0,run_2,3101.0,2.0,0.9406490568972324,1.0
5d0a8a22c0fd80001626e38d,38.0,run_2,3110.0,5.0,0.9693465699682845,1.0
5d0a8a22c0fd80001626e38d,38.0,run_2,3200.0,4.0,0.9875672647455577,1.0
5d0a8a22c0fd80001626e38d,38.0,run_2,4010.0,1.0,0.9843983377581704,1.0
5d0a8a22c0fd80001626e38d,38.0,run_2,4100.0,1.0,0.9937299876585661,1.0
665dd4ef9ba81d499d675de5,39.0,run_1,14.0,1.0,0.006270012341433836,0.0
665dd4ef9ba81d499d675de5,39.0,run_1,23.0,4.0,0.012432735254442401,0.5
665dd4ef9ba81d499d675de5,39.0,run_1,32.0,7.0,0.024503367550335983,0.42857142857142855
665dd4ef9ba81d499d675de5,39.0,run_1,41.0,5.0,0.047726721034203896,0.8
665dd4ef9ba81d499d675de5,39.0,run_1,50.0,2.0,0.0909090909090909,0.5
665dd4ef9ba81d499d675de5,39.0,run_1,104.0,1.0,0.015601662241829593,1.0
665dd4ef9ba81d499d675de5,39.0,run_1,113.0,5.0,0.0306534300317155,0.2
665dd4ef9ba81d499d675de5,39.0,run_1,122.0,13.0,0.05935094310276758,0.15384615384615385
665dd4ef9ba81d499d675de5,39.0,run_1,131.0,15.0,0.11181576977811694,0.4
665dd4ef9ba81d499d675de5,39.0,run_1,140.0,6.0,0.20076000891310178,0.6666666666666666
665dd4ef9ba81d499d675de5,39.0,run_1,203.0,2.0,0.0735875561175735,1.0
665dd4ef9ba81d499d675de5,39.0,run_1,212.0,9.0,0.13680688860321,0.6666666666666666
665dd4ef9ba81d499d675de5,39.0,run_1,221.0,17.0,0.24025307335204216,0.47058823529411764
665dd4ef9ba81d499d675de5,39.0,run_1,230.0,11.0,0.38686317984685703,0.2727272727272727
665dd4ef9ba81d499d675de5,39.0,run_1,302.0,3.0,0.2847472489508014,1.0
665dd4ef9ba81d499d675de5,39.0,run_1,311.0,9.0,0.44268836623770724,0.6666666666666666
665dd4ef9ba81d499d675de5,39.0,run_1,320.0,11.0,0.6131368201531431,0.6363636363636364
665dd4ef9ba81d499d675de5,39.0,run_1,401.0,3.0,0.666139424583122,0.6666666666666666
665dd4ef9ba81d499d675de5,39.0,run_1,410.0,6.0,0.7992399910868982,1.0
665dd4ef9ba81d499d675de5,39.0,run_1,500.0,2.0,0.9090909090909091,0.0
665dd4ef9ba81d499d675de5,39.0,run_1,1013.0,2.0,0.059350943102767575,1.0
665dd4ef9ba81d499d675de5,39.0,run_1,1022.0,5.0,0.11181576977811694,0.2
665dd4ef9ba81d499d675de5,39.0,run_1,1031.0,5.0,0.20076000891310175,0.2
665dd4ef9ba81d499d675de5,39.0,run_1,1040.0,3.0,0.33386057541687797,1.0
665dd4ef9ba81d499d675de5,39.0,run_1,1103.0,1.0,0.13680688860321,1.0
665dd4ef9ba81d499d675de5,39.0,run_1,1112.0,7.0,0.24025307335204213,0.7142857142857143
665dd4ef9ba81d499d675de5,39.0,run_1,1121.0,13.0,0.386863179846857,0.6153846153846154
665dd4ef9ba81d499d675de5,39.0,run_1,1130.0,9.0,0.5573116337622928,0.5555555555555556
665dd4ef9ba81d499d675de5,39.0,run_1,1202.0,3.0,0.44268836623770724,0.6666666666666666
665dd4ef9ba81d499d675de5,39.0,run_1,1211.0,13.0,0.6131368201531431,0.7692307692307693
665dd4ef9ba81d499d675de5,39.0,run_1,1220.0,17.0,0.7597469266479578,0.5882352941176471
665dd4ef9ba81d499d675de5,39.0,run_1,1301.0,5.0,0.7992399910868981,0.8
665dd4ef9ba81d499d675de5,39.0,run_1,1310.0,15.0,0.8881842302218831,0.4
665dd4ef9ba81d499d675de5,39.0,run_1,1400.0,5.0,0.9522732789657962,0.8
665dd4ef9ba81d499d675de5,39.0,run_1,2012.0,1.0,0.386863179846857,0.0
665dd4ef9ba81d499d675de5,39.0,run_1,2021.0,3.0,0.5573116337622926,0.6666666666666666
665dd4ef9ba81d499d675de5,39.0,run_1,2030.0,3.0,0.7152527510491986,0.3333333333333333
665dd4ef9ba81d499d675de5,39.0,run_1,2102.0,1.0,0.6131368201531431,0.0
665dd4ef9ba81d499d675de5,39.0,run_1,2111.0,7.0,0.7597469266479578,0.7142857142857143
665dd4ef9ba81d499d675de5,39.0,run_1,2120.0,9.0,0.86319311139679,0.8888888888888888
665dd4ef9ba81d499d675de5,39.0,run_1,2201.0,5.0,0.8881842302218831,0.4
665dd4ef9ba81d499d675de5,39.0,run_1,2210.0,13.0,0.9406490568972323,0.46153846153846156
665dd4ef9ba81d499d675de5,39.0,run_1,2300.0,7.0,0.975496632449664,0.8571428571428571
665dd4ef9ba81d499d675de5,39.0,run_1,3011.0,1.0,0.86319311139679,1.0
665dd4ef9ba81d499d675de5,39.0,run_1,3020.0,2.0,0.9264124438824265,0.5
665dd4ef9ba81d499d675de5,39.0,run_1,3101.0,2.0,0.9406490568972324,0.5
665dd4ef9ba81d499d675de5,39.0,run_1,3110.0,5.0,0.9693465699682845,0.8
665dd4ef9ba81d499d675de5,39.0,run_1,3200.0,4.0,0.9875672647455577,0.5
665dd4ef9ba81d499d675de5,39.0,run_1,4010.0,1.0,0.9843983377581704,0.0
665dd4ef9ba81d499d675de5,39.0,run_1,4100.0,1.0,0.9937299876585661,0.0
665dd4ef9ba81d499d675de5,39.0,run_2,14.0,1.0,0.006270012341433836,0.0
665dd4ef9ba81d499d675de5,39.0,run_2,23.0,4.0,0.012432735254442401,0.0
665dd4ef9ba81d499d675de5,39.0,run_2,32.0,7.0,0.024503367550335983,0.42857142857142855
665dd4ef9ba81d499d675de5,39.0,run_2,41.0,5.0,0.047726721034203896,0.2
665dd4ef9ba81d499d675de5,39.0,run_2,50.0,2.0,0.0909090909090909,0.5
665dd4ef9ba81d499d675de5,39.0,run_2,104.0,1.0,0.015601662241829593,0.0
665dd4ef9ba81d499d675de5,39.0,run_2,113.0,5.0,0.0306534300317155,0.6
665dd4ef9ba81d499d675de5,39.0,run_2,122.0,13.0,0.05935094310276758,0.23076923076923078
665dd4ef9ba81d499d675de5,39.0,run_2,131.0,15.0,0.11181576977811694,0.26666666666666666
665dd4ef9ba81d499d675de5,39.0,run_2,140.0,6.0,0.20076000891310178,0.0
665dd4ef9ba81d499d675de5,39.0,run_2,203.0,2.0,0.0735875561175735,0.0
665dd4ef9ba81d499d675de5,39.0,run_2,212.0,9.0,0.13680688860321,0.3333333333333333
665dd4ef9ba81d499d675de5,39.0,run_2,221.0,17.0,0.24025307335204216,0.35294117647058826
665dd4ef9ba81d499d675de5,39.0,run_2,230.0,11.0,0.38686317984685703,0.36363636363636365
665dd4ef9ba81d499d675de5,39.0,run_2,302.0,3.0,0.2847472489508014,0.6666666666666666
665dd4ef9ba81d499d675de5,39.0,run_2,311.0,9.0,0.44268836623770724,1.0
665dd4ef9ba81d499d675de5,39.0,run_2,320.0,11.0,0.6131368201531431,0.8181818181818182
665dd4ef9ba81d499d675de5,39.0,run_2,401.0,3.0,0.666139424583122,1.0
665dd4ef9ba81d499d675de5,39.0,run_2,410.0,6.0,0.7992399910868982,0.6666666666666666
665dd4ef9ba81d499d675de5,39.0,run_2,500.0,2.0,0.9090909090909091,0.5
665dd4ef9ba81d499d675de5,39.0,run_2,1013.0,2.0,0.059350943102767575,0.5
665dd4ef9ba81d499d675de5,39.0,run_2,1022.0,5.0,0.11181576977811694,0.0
665dd4ef9ba81d499d675de5,39.0,run_2,1031.0,5.0,0.20076000891310175,0.0
665dd4ef9ba81d499d675de5,39.0,run_2,1040.0,3.0,0.33386057541687797,0.0
665dd4ef9ba81d499d675de5,39.0,run_2,1103.0,1.0,0.13680688860321,0.0
665dd4ef9ba81d499d675de5,39.0,run_2,1112.0,7.0,0.24025307335204213,0.2857142857142857
665dd4ef9ba81d499d675de5,39.0,run_2,1121.0,13.0,0.386863179846857,0.38461538461538464
665dd4ef9ba81d499d675de5,39.0,run_2,1130.0,9.0,0.5573116337622928,0.1111111111111111
665dd4ef9ba81d499d675de5,39.0,run_2,1202.0,3.0,0.44268836623770724,0.0
665dd4ef9ba81d499d675de5,39.0,run_2,1211.0,13.0,0.6131368201531431,0.46153846153846156
665dd4ef9ba81d499d675de5,39.0,run_2,1220.0,17.0,0.7597469266479578,0.5294117647058824
665dd4ef9ba81d499d675de5,39.0,run_2,1301.0,5.0,0.7992399910868981,0.6
665dd4ef9ba81d499d675de5,39.0,run_2,1310.0,15.0,0.8881842302218831,0.7333333333333333
665dd4ef9ba81d499d675de5,39.0,run_2,1400.0,5.0,0.9522732789657962,1.0
665dd4ef9ba81d499d675de5,39.0,run_2,2012.0,1.0,0.386863179846857,0.0
665dd4ef9ba81d499d675de5,39.0,run_2,2021.0,3.0,0.5573116337622926,0.0
665dd4ef9ba81d499d675de5,39.0,run_2,2030.0,3.0,0.7152527510491986,0.6666666666666666
665dd4ef9ba81d499d675de5,39.0,run_2,2102.0,1.0,0.6131368201531431,1.0
665dd4ef9ba81d499d675de5,39.0,run_2,2111.0,7.0,0.7597469266479578,0.5714285714285714
665dd4ef9ba81d499d675de5,39.0,run_2,2120.0,9.0,0.86319311139679,0.1111111111111111
665dd4ef9ba81d499d675de5,39.0,run_2,2201.0,5.0,0.8881842302218831,0.8
665dd4ef9ba81d499d675de5,39.0,run_2,2210.0,13.0,0.9406490568972323,0.46153846153846156
665dd4ef9ba81d499d675de5,39.0,run_2,2300.0,7.0,0.975496632449664,0.8571428571428571
665dd4ef9ba81d499d675de5,39.0,run_2,3011.0,1.0,0.86319311139679,1.0
665dd4ef9ba81d499d675de5,39.0,run_2,3020.0,2.0,0.9264124438824265,1.0
665dd4ef9ba81d499d675de5,39.0,run_2,3101.0,2.0,0.9406490568972324,1.0
665dd4ef9ba81d499d675de5,39.0,run_2,3110.0,5.0,0.9693465699682845,0.6
665dd4ef9ba81d499d675de5,39.0,run_2,3200.0,4.0,0.9875672647455577,1.0
665dd4ef9ba81d499d675de5,39.0,run_2,4010.0,1.0,0.9843983377581704,1.0
665dd4ef9ba81d499d675de5,39.0,run_2,4100.0,1.0,0.9937299876585661,1.0
616ef680ab8ca318a227f5ec,40.0,run_1,14.0,1.0,0.006270012341433836,0.0
616ef680ab8ca318a227f5ec,40.0,run_1,23.0,4.0,0.012432735254442401,0.5
616ef680ab8ca318a227f5ec,40.0,run_1,32.0,7.0,0.024503367550335983,0.14285714285714285
616ef680ab8ca318a227f5ec,40.0,run_1,41.0,5.0,0.047726721034203896,0.4
616ef680ab8ca318a227f5ec,40.0,run_1,50.0,2.0,0.0909090909090909,0.0
616ef680ab8ca318a227f5ec,40.0,run_1,104.0,1.0,0.015601662241829593,1.0
616ef680ab8ca318a227f5ec,40.0,run_1,113.0,5.0,0.0306534300317155,0.2
616ef680ab8ca318a227f5ec,40.0,run_1,122.0,13.0,0.05935094310276758,0.07692307692307693
616ef680ab8ca318a227f5ec,40.0,run_1,131.0,15.0,0.11181576977811694,0.13333333333333333
616ef680ab8ca318a227f5ec,40.0,run_1,140.0,6.0,0.20076000891310178,0.16666666666666666
616ef680ab8ca318a227f5ec,40.0,run_1,203.0,2.0,0.0735875561175735,0.5
616ef680ab8ca318a227f5ec,40.0,run_1,212.0,9.0,0.13680688860321,0.2222222222222222
616ef680ab8ca318a227f5ec,40.0,run_1,221.0,17.0,0.24025307335204216,0.17647058823529413
616ef680ab8ca318a227f5ec,40.0,run_1,230.0,11.0,0.38686317984685703,0.8181818181818182
616ef680ab8ca318a227f5ec,40.0,run_1,302.0,3.0,0.2847472489508014,0.0
616ef680ab8ca318a227f5ec,40.0,run_1,311.0,9.0,0.44268836623770724,0.4444444444444444
616ef680ab8ca318a227f5ec,40.0,run_1,320.0,11.0,0.6131368201531431,0.36363636363636365
616ef680ab8ca318a227f5ec,40.0,run_1,401.0,3.0,0.666139424583122,0.6666666666666666
616ef680ab8ca318a227f5ec,40.0,run_1,410.0,6.0,0.7992399910868982,0.5
616ef680ab8ca318a227f5ec,40.0,run_1,500.0,2.0,0.9090909090909091,0.5
616ef680ab8ca318a227f5ec,40.0,run_1,1013.0,2.0,0.059350943102767575,0.5
616ef680ab8ca318a227f5ec,40.0,run_1,1022.0,5.0,0.11181576977811694,0.2
616ef680ab8ca318a227f5ec,40.0,run_1,1031.0,5.0,0.20076000891310175,0.4
616ef680ab8ca318a227f5ec,40.0,run_1,1040.0,3.0,0.33386057541687797,0.6666666666666666
616ef680ab8ca318a227f5ec,40.0,run_1,1103.0,1.0,0.13680688860321,1.0
616ef680ab8ca318a227f5ec,40.0,run_1,1112.0,7.0,0.24025307335204213,0.42857142857142855
616ef680ab8ca318a227f5ec,40.0,run_1,1121.0,13.0,0.386863179846857,0.38461538461538464
616ef680ab8ca318a227f5ec,40.0,run_1,1130.0,9.0,0.5573116337622928,0.5555555555555556
616ef680ab8ca318a227f5ec,40.0,run_1,1202.0,3.0,0.44268836623770724,0.6666666666666666
616ef680ab8ca318a227f5ec,40.0,run_1,1211.0,13.0,0.6131368201531431,0.5384615384615384
616ef680ab8ca318a227f5ec,40.0,run_1,1220.0,17.0,0.7597469266479578,0.8823529411764706
616ef680ab8ca318a227f5ec,40.0,run_1,1301.0,5.0,0.7992399910868981,0.6
616ef680ab8ca318a227f5ec,40.0,run_1,1310.0,15.0,0.8881842302218831,0.6
616ef680ab8ca318a227f5ec,40.0,run_1,1400.0,5.0,0.9522732789657962,0.8
616ef680ab8ca318a227f5ec,40.0,run_1,2012.0,1.0,0.386863179846857,1.0
616ef680ab8ca318a227f5ec,40.0,run_1,2021.0,3.0,0.5573116337622926,1.0
616ef680ab8ca318a227f5ec,40.0,run_1,2030.0,3.0,0.7152527510491986,1.0
616ef680ab8ca318a227f5ec,40.0,run_1,2102.0,1.0,0.6131368201531431,0.0
616ef680ab8ca318a227f5ec,40.0,run_1,2111.0,7.0,0.7597469266479578,0.8571428571428571
616ef680ab8ca318a227f5ec,40.0,run_1,2120.0,9.0,0.86319311139679,0.8888888888888888
616ef680ab8ca318a227f5ec,40.0,run_1,2201.0,5.0,0.8881842302218831,0.6
616ef680ab8ca318a227f5ec,40.0,run_1,2210.0,13.0,0.9406490568972323,0.6923076923076923
616ef680ab8ca318a227f5ec,40.0,run_1,2300.0,7.0,0.975496632449664,0.8571428571428571
616ef680ab8ca318a227f5ec,40.0,run_1,3011.0,1.0,0.86319311139679,0.0
616ef680ab8ca318a227f5ec,40.0,run_1,3020.0,2.0,0.9264124438824265,1.0
616ef680ab8ca318a227f5ec,40.0,run_1,3101.0,2.0,0.9406490568972324,0.5
616ef680ab8ca318a227f5ec,40.0,run_1,3110.0,5.0,0.9693465699682845,1.0
616ef680ab8ca318a227f5ec,40.0,run_1,3200.0,4.0,0.9875672647455577,0.75
616ef680ab8ca318a227f5ec,40.0,run_1,4010.0,1.0,0.9843983377581704,0.0
616ef680ab8ca318a227f5ec,40.0,run_1,4100.0,1.0,0.9937299876585661,1.0
616ef680ab8ca318a227f5ec,40.0,run_2,14.0,1.0,0.006270012341433836,1.0
616ef680ab8ca318a227f5ec,40.0,run_2,23.0,4.0,0.012432735254442401,0.0
616ef680ab8ca318a227f5ec,40.0,run_2,32.0,7.0,0.024503367550335983,0.42857142857142855
616ef680ab8ca318a227f5ec,40.0,run_2,41.0,5.0,0.047726721034203896,0.0
616ef680ab8ca318a227f5ec,40.0,run_2,50.0,2.0,0.0909090909090909,0.5
616ef680ab8ca318a227f5ec,40.0,run_2,104.0,1.0,0.015601662241829593,0.0
616ef680ab8ca318a227f5ec,40.0,run_2,113.0,5.0,0.0306534300317155,0.2
616ef680ab8ca318a227f5ec,40.0,run_2,122.0,13.0,0.05935094310276758,0.23076923076923078
616ef680ab8ca318a227f5ec,40.0,run_2,131.0,15.0,0.11181576977811694,0.4
616ef680ab8ca318a227f5ec,40.0,run_2,140.0,6.0,0.20076000891310178,0.6666666666666666
616ef680ab8ca318a227f5ec,40.0,run_2,203.0,2.0,0.0735875561175735,0.0
616ef680ab8ca318a227f5ec,40.0,run_2,212.0,9.0,0.13680688860321,0.3333333333333333
616ef680ab8ca318a227f5ec,40.0,run_2,221.0,17.0,0.24025307335204216,0.4117647058823529
616ef680ab8ca318a227f5ec,40.0,run_2,230.0,11.0,0.38686317984685703,0.36363636363636365
616ef680ab8ca318a227f5ec,40.0,run_2,302.0,3.0,0.2847472489508014,0.3333333333333333
616ef680ab8ca318a227f5ec,40.0,run_2,311.0,9.0,0.44268836623770724,0.4444444444444444
616ef680ab8ca318a227f5ec,40.0,run_2,320.0,11.0,0.6131368201531431,0.6363636363636364
616ef680ab8ca318a227f5ec,40.0,run_2,401.0,3.0,0.666139424583122,0.3333333333333333
616ef680ab8ca318a227f5ec,40.0,run_2,410.0,6.0,0.7992399910868982,0.6666666666666666
616ef680ab8ca318a227f5ec,40.0,run_2,500.0,2.0,0.9090909090909091,0.5
616ef680ab8ca318a227f5ec,40.0,run_2,1013.0,2.0,0.059350943102767575,1.0
616ef680ab8ca318a227f5ec,40.0,run_2,1022.0,5.0,0.11181576977811694,0.4
616ef680ab8ca318a227f5ec,40.0,run_2,1031.0,5.0,0.20076000891310175,0.2
616ef680ab8ca318a227f5ec,40.0,run_2,1040.0,3.0,0.33386057541687797,0.6666666666666666
616ef680ab8ca318a227f5ec,40.0,run_2,1103.0,1.0,0.13680688860321,1.0
616ef680ab8ca318a227f5ec,40.0,run_2,1112.0,7.0,0.24025307335204213,0.2857142857142857
616ef680ab8ca318a227f5ec,40.0,run_2,1121.0,13.0,0.386863179846857,0.38461538461538464
616ef680ab8ca318a227f5ec,40.0,run_2,1130.0,9.0,0.5573116337622928,0.6666666666666666
616ef680ab8ca318a227f5ec,40.0,run_2,1202.0,3.0,0.44268836623770724,0.3333333333333333
616ef680ab8ca318a227f5ec,40.0,run_2,1211.0,13.0,0.6131368201531431,0.38461538461538464
616ef680ab8ca318a227f5ec,40.0,run_2,1220.0,17.0,0.7597469266479578,0.35294117647058826
616ef680ab8ca318a227f5ec,40.0,run_2,1301.0,5.0,0.7992399910868981,0.4
616ef680ab8ca318a227f5ec,40.0,run_2,1310.0,15.0,0.8881842302218831,0.6666666666666666
616ef680ab8ca318a227f5ec,40.0,run_2,1400.0,5.0,0.9522732789657962,0.4
616ef680ab8ca318a227f5ec,40.0,run_2,2012.0,1.0,0.386863179846857,1.0
616ef680ab8ca318a227f5ec,40.0,run_2,2021.0,3.0,0.5573116337622926,0.0
616ef680ab8ca318a227f5ec,40.0,run_2,2030.0,3.0,0.7152527510491986,0.6666666666666666
616ef680ab8ca318a227f5ec,40.0,run_2,2102.0,1.0,0.6131368201531431,1.0
616ef680ab8ca318a227f5ec,40.0,run_2,2111.0,7.0,0.7597469266479578,0.8571428571428571
616ef680ab8ca318a227f5ec,40.0,run_2,2120.0,9.0,0.86319311139679,0.7777777777777778
616ef680ab8ca318a227f5ec,40.0,run_2,2201.0,5.0,0.8881842302218831,0.6
616ef680ab8ca318a227f5ec,40.0,run_2,2210.0,13.0,0.9406490568972323,0.6923076923076923
616ef680ab8ca318a227f5ec,40.0,run_2,2300.0,7.0,0.975496632449664,0.42857142857142855
616ef680ab8ca318a227f5ec,40.0,run_2,3011.0,1.0,0.86319311139679,1.0
616ef680ab8ca318a227f5ec,40.0,run_2,3020.0,2.0,0.9264124438824265,0.5
616ef680ab8ca318a227f5ec,40.0,run_2,3101.0,2.0,0.9406490568972324,0.5
616ef680ab8ca318a227f5ec,40.0,run_2,3110.0,5.0,0.9693465699682845,0.6
616ef680ab8ca318a227f5ec,40.0,run_2,3200.0,4.0,0.9875672647455577,0.5
616ef680ab8ca318a227f5ec,40.0,run_2,4010.0,1.0,0.9843983377581704,1.0
616ef680ab8ca318a227f5ec,40.0,run_2,4100.0,1.0,0.9937299876585661,0.0
66b19980c3c58c2bba58922e,41.0,run_1,14.0,1.0,0.006270012341433836,0.0
66b19980c3c58c2bba58922e,41.0,run_1,23.0,4.0,0.012432735254442401,0.0
66b19980c3c58c2bba58922e,41.0,run_1,32.0,7.0,0.024503367550335983,0.0
66b19980c3c58c2bba58922e,41.0,run_1,41.0,5.0,0.047726721034203896,0.0
66b19980c3c58c2bba58922e,41.0,run_1,50.0,2.0,0.0909090909090909,0.0
66b19980c3c58c2bba58922e,41.0,run_1,104.0,1.0,0.015601662241829593,0.0
66b19980c3c58c2bba58922e,41.0,run_1,113.0,5.0,0.0306534300317155,0.0
66b19980c3c58c2bba58922e,41.0,run_1,122.0,13.0,0.05935094310276758,0.0
66b19980c3c58c2bba58922e,41.0,run_1,131.0,15.0,0.11181576977811694,0.06666666666666667
66b19980c3c58c2bba58922e,41.0,run_1,140.0,6.0,0.20076000891310178,0.16666666666666666
66b19980c3c58c2bba58922e,41.0,run_1,203.0,2.0,0.0735875561175735,0.0
66b19980c3c58c2bba58922e,41.0,run_1,212.0,9.0,0.13680688860321,0.0
66b19980c3c58c2bba58922e,41.0,run_1,221.0,17.0,0.24025307335204216,0.0
66b19980c3c58c2bba58922e,41.0,run_1,230.0,11.0,0.38686317984685703,0.09090909090909091
66b19980c3c58c2bba58922e,41.0,run_1,302.0,3.0,0.2847472489508014,0.3333333333333333
66b19980c3c58c2bba58922e,41.0,run_1,311.0,9.0,0.44268836623770724,0.1111111111111111
66b19980c3c58c2bba58922e,41.0,run_1,320.0,11.0,0.6131368201531431,0.5454545454545454
66b19980c3c58c2bba58922e,41.0,run_1,401.0,3.0,0.666139424583122,0.0
66b19980c3c58c2bba58922e,41.0,run_1,410.0,6.0,0.7992399910868982,0.8333333333333334
66b19980c3c58c2bba58922e,41.0,run_1,500.0,2.0,0.9090909090909091,1.0
66b19980c3c58c2bba58922e,41.0,run_1,1013.0,2.0,0.059350943102767575,0.0
66b19980c3c58c2bba58922e,41.0,run_1,1022.0,5.0,0.11181576977811694,0.0
66b19980c3c58c2bba58922e,41.0,run_1,1031.0,5.0,0.20076000891310175,0.4
66b19980c3c58c2bba58922e,41.0,run_1,1040.0,3.0,0.33386057541687797,0.6666666666666666
66b19980c3c58c2bba58922e,41.0,run_1,1103.0,1.0,0.13680688860321,0.0
66b19980c3c58c2bba58922e,41.0,run_1,1112.0,7.0,0.24025307335204213,0.42857142857142855
66b19980c3c58c2bba58922e,41.0,run_1,1121.0,13.0,0.386863179846857,0.23076923076923078
66b19980c3c58c2bba58922e,41.0,run_1,1130.0,9.0,0.5573116337622928,0.8888888888888888
66b19980c3c58c2bba58922e,41.0,run_1,1202.0,3.0,0.44268836623770724,0.3333333333333333
66b19980c3c58c2bba58922e,41.0,run_1,1211.0,13.0,0.6131368201531431,0.6923076923076923
66b19980c3c58c2bba58922e,41.0,run_1,1220.0,17.0,0.7597469266479578,0.9411764705882353
66b19980c3c58c2bba58922e,41.0,run_1,1301.0,5.0,0.7992399910868981,0.8
66b19980c3c58c2bba58922e,41.0,run_1,1310.0,15.0,0.8881842302218831,0.9333333333333333
66b19980c3c58c2bba58922e,41.0,run_1,1400.0,5.0,0.9522732789657962,1.0
66b19980c3c58c2bba58922e,41.0,run_1,2012.0,1.0,0.386863179846857,1.0
66b19980c3c58c2bba58922e,41.0,run_1,2021.0,3.0,0.5573116337622926,1.0
66b19980c3c58c2bba58922e,41.0,run_1,2030.0,3.0,0.7152527510491986,1.0
66b19980c3c58c2bba58922e,41.0,run_1,2102.0,1.0,0.6131368201531431,0.0
66b19980c3c58c2bba58922e,41.0,run_1,2111.0,7.0,0.7597469266479578,1.0
66b19980c3c58c2bba58922e,41.0,run_1,2120.0,9.0,0.86319311139679,1.0
66b19980c3c58c2bba58922e,41.0,run_1,2201.0,5.0,0.8881842302218831,1.0
66b19980c3c58c2bba58922e,41.0,run_1,2210.0,13.0,0.9406490568972323,1.0
66b19980c3c58c2bba58922e,41.0,run_1,2300.0,7.0,0.975496632449664,1.0
66b19980c3c58c2bba58922e,41.0,run_1,3011.0,1.0,0.86319311139679,1.0
66b19980c3c58c2bba58922e,41.0,run_1,3020.0,2.0,0.9264124438824265,1.0
66b19980c3c58c2bba58922e,41.0,run_1,3101.0,2.0,0.9406490568972324,1.0
66b19980c3c58c2bba58922e,41.0,run_1,3110.0,5.0,0.9693465699682845,1.0
66b19980c3c58c2bba58922e,41.0,run_1,3200.0,4.0,0.9875672647455577,1.0
66b19980c3c58c2bba58922e,41.0,run_1,4010.0,1.0,0.9843983377581704,1.0
